tweet_id,created_at
1931681344373072141,2025-06-08 11:54:56
1931218382525005905,2025-06-07 05:15:17
1930852335032602660,2025-06-06 05:00:44
1930781128438526350,2025-06-06 00:17:47
1930188192243953916,2025-06-04 09:01:40
1929879701138690552,2025-06-03 12:35:50
1929766276765045038,2025-06-03 05:05:08
1927728204749369554,2025-05-28 14:06:34
1927598242973544506,2025-05-28 05:30:08
1926868181907374197,2025-05-26 05:09:08
1925805370095661280,2025-05-23 06:45:54
1925446577684193787,2025-05-22 07:00:11
1924290085606060032,2025-05-19 02:24:42
1923362801893953652,2025-05-16 13:00:00
1922987462118273041,2025-05-15 12:08:33
1922210651750998248,2025-05-13 08:41:46
1922164567796547608,2025-05-13 05:38:39
1920647865421971936,2025-05-09 01:11:49
1920030888538050666,2025-05-07 08:20:10
1920019250338791916,2025-05-07 07:33:56
1919733270444704022,2025-05-06 12:37:33
1919693644581437766,2025-05-06 10:00:05
1919369978488541499,2025-05-05 12:33:57
1918228970807362005,2025-05-02 09:00:00
1918220934114361526,2025-05-02 08:28:04
1916995250696163366,2025-04-28 23:17:38
1915716355741147227,2025-04-25 10:35:46
1915622804701204577,2025-04-25 04:24:01
1914284294102458659,2025-04-21 11:45:16
1914236048265413096,2025-04-21 08:33:33
1913857732064460863,2025-04-20 07:30:15
1913112024764256326,2025-04-18 06:07:05
1911707498119123435,2025-04-14 09:06:00
1910942767162720470,2025-04-12 06:27:13
1910712802979045642,2025-04-11 15:13:26
1909542623817118131,2025-04-08 09:43:33
1908489804196753793,2025-04-05 12:00:02
1906538159787454770,2025-03-31 02:44:53
1906368907042267293,2025-03-30 15:32:20
1906207389440737518,2025-03-30 04:50:31
1905632516662591851,2025-03-28 14:46:11
1905617156852588597,2025-03-28 13:45:09
1905583430265376905,2025-03-28 11:31:08
1905396762980089974,2025-03-27 23:09:23
1900696805089964555,2025-03-14 23:53:26
1900094932481957968,2025-03-13 08:01:48
1899994316858384695,2025-03-13 01:21:59
1899747195026624957,2025-03-12 09:00:01
1898735676155420793,2025-03-09 14:00:36
1898707939432829382,2025-03-09 12:10:23
1898364359216390319,2025-03-08 13:25:07
1898268666883694624,2025-03-08 07:04:52
1898246260953694649,2025-03-08 05:35:50
1897937782926197113,2025-03-07 09:10:04
1897926945196913061,2025-03-07 08:27:00
1897859797732757609,2025-03-07 04:00:10
1897592304967561638,2025-03-06 10:17:15
1897317230171599125,2025-03-05 16:04:12
1897211685137703423,2025-03-05 09:04:48
1896793976436580653,2025-03-04 05:24:59
1896595692514398703,2025-03-03 16:17:04
1896537656584286369,2025-03-03 12:26:27
1896130540346232969,2025-03-02 09:28:43
1895746578549486073,2025-03-01 08:03:00
1895470724229496891,2025-02-28 13:46:51
1895073960729158046,2025-02-27 11:30:15
1895038521750249804,2025-02-27 09:09:26
1894681335610101788,2025-02-26 09:30:06
1894266365063958887,2025-02-25 06:01:09
1893561523739734349,2025-02-23 07:20:22
1892816772631609662,2025-02-21 06:01:00
1892740172774834449,2025-02-21 00:56:37
1892567545322037265,2025-02-20 13:30:39
1891412273941426403,2025-02-17 09:00:01
1890057580795597306,2025-02-13 15:16:57
1889600339822694729,2025-02-12 09:00:02
1888879889912332517,2025-02-10 09:17:14
1888047994685243682,2025-02-08 02:11:34
1887856368360808484,2025-02-07 13:30:07
1887758213279555895,2025-02-07 07:00:05
1887110074868580730,2025-02-05 12:04:37
1886724793980051570,2025-02-04 10:33:39
1886388977261035632,2025-02-03 12:19:14
1885976451545170219,2025-02-02 09:00:00
1885942796739387484,2025-02-02 06:46:16
1885256800087486687,2025-01-31 09:20:22
1884802445207105996,2025-01-30 03:14:55
1884622316220637333,2025-01-29 15:19:09
1883444861573230976,2025-01-26 09:20:22
1883154396978282683,2025-01-25 14:06:10
1882722659638898853,2025-01-24 09:30:36
1882678931142377925,2025-01-24 06:36:50
1882432159597875479,2025-01-23 14:16:15
1882428097850696006,2025-01-23 14:00:07
1882405733536575560,2025-01-23 12:31:14
1882005300607426754,2025-01-22 10:00:04
1881924295947116888,2025-01-22 04:38:11
1881716746010456290,2025-01-21 14:53:27
1881673105724367117,2025-01-21 12:00:02
1881310718324297835,2025-01-20 12:00:02
1880959194989519051,2025-01-19 12:43:13
1880602041082609986,2025-01-18 13:04:01
1880481976895103252,2025-01-18 05:06:55
1879506348536373416,2025-01-15 12:30:07
1879092471130624300,2025-01-14 09:05:31
1878605118108729505,2025-01-13 00:48:57
1877686835696267466,2025-01-10 12:00:02
1877571466809495946,2025-01-10 04:21:35
1877346701268164704,2025-01-09 13:28:27
1877279155126972797,2025-01-09 09:00:03
1876890844306796860,2025-01-08 07:17:02
1876605328458203572,2025-01-07 12:22:30
1876207103817535840,2025-01-06 10:00:06
1875814531840258535,2025-01-05 08:00:09
1875368528234344786,2025-01-04 02:27:54
1875340108947451959,2025-01-04 00:34:58
1874742457885393286,2025-01-02 09:00:07
1874445641314865375,2025-01-01 13:20:41
1874430621902418009,2025-01-01 12:21:00
1874010101805441357,2024-12-31 08:30:00
1873016364723839465,2024-12-28 14:41:14
1872542369012429280,2024-12-27 07:17:45
1872213581372313901,2024-12-26 09:31:16
1871752751891496985,2024-12-25 03:00:06
1871184077447147889,2024-12-23 13:20:23
1871035620182872362,2024-12-23 03:30:28
1870828022871597101,2024-12-22 13:45:33
1870420297331142770,2024-12-21 10:45:24
1870291321451393219,2024-12-21 02:12:54
1870091789828534343,2024-12-20 13:00:01
1869322153503445360,2024-12-18 10:01:46
1868945034772726014,2024-12-17 09:03:14
1868627182307996017,2024-12-16 12:00:12
1867729828503494723,2024-12-14 00:34:26
1867192874510832049,2024-12-12 13:00:46
1867177635115311615,2024-12-12 12:00:13
1867132679118061818,2024-12-12 09:01:35
1867043362270068806,2024-12-12 03:06:40
1866339550693630451,2024-12-10 04:29:58
1865962119419834785,2024-12-09 03:30:11
1865696842836783451,2024-12-08 09:56:04
